date Fri Feb 14 08:51:20 AM 2020
base hex  timestamps absolute
  359.550650 1 0  Rx d 2 12 34
  359.650200 1 1f  Rx d 2 12 34
  359.749900 1 20  Rx d 4 12 34 56 78
  359.849550 1 2f  Rx d 4 12 34 56 78
  359.950250 1 30  Rx d 8 12 34 56 78 90 AB CD EF
  360.049950 1 3f  Rx d 8 12 34 56 78 90 AB CD EF
  365.173450 2 0  Rx d 2 12 34
  365.273050 2 1f  Rx d 2 12 34
  365.372700 2 20  Rx d 4 12 34 56 78
  365.472400 2 2f  Rx d 4 12 34 56 78
  365.573150 2 30  Rx d 8 12 34 56 78 90 AB CD EF
  365.672750 2 3f  Rx d 8 12 34 56 78 90 AB CD EF
